board,item,test,verdict,measured,limit,evidence,stamp
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [112.1, 110.9, 110.8] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 112.1, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.9, ""raw"": ""+\n.\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.8, ""raw"": ""+\n:\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T19:24:52Z
Assemblies,S MCU H1S1 (STM32U575),ML1,PASS,"Sys001Test001 (5414) x3 = ['0x00', '0x00', '0x00'], [112.1, 110.9, 110.8] ms",3 identical answers within the bus timeout,"{""mode"": ""cell"", ""cell"": 5414, ""reps"": 3, ""reads"": [{""value"": 0, ""ms"": 112.1, ""raw"": ""+\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.9, ""raw"": ""+\n.\n+\nimjn\n""}, {""value"": 0, ""ms"": 110.8, ""raw"": ""+\n:\n+\nimjn\n""}], ""answered"": 3, ""identical"": true}",2026-09-23T19:24:52Z
DSP PCBA (H1S1 MCU wiring),H1S1 MCU (STM32U575) link,ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T19:24:52Z
Assemblies,S MCU H1S1 (STM32U575),ML2,NO DATA,no H1S1 version cell; host side H1S1.shex 5dc7acdea662f9153b09b816f9ae76b2,non-zero version equal to the H1S1.shex manifest,"PREREQUISITE: H1S1 firmware-version cell (spec prereq 1). H1S1's whole local cell table is Sys001Enc001/Sys001Skin001/Sys001Test001/Sys001Test002 (~/build-h1s1/Core/Inc/matrix.cs:11-18); no *Ver*/*Build* cell exists. The only identity it publishes is the S_TEST string ""// H1S1 DSP"" (matrix.cs:46). Host side reads: 5dc7acdea662f9153b09b816f9ae76b2 /home/app/firmware/H1S1.shex %s",2026-09-23T19:24:52Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC1-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-24T07:30:09Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DC2-CS3,NO DATA,CS3 is not a chip select on DSP4: 8: ip    pu | hi // GPIO8 = input,n/a -- assert-one-read-one does not apply,"SPEC CORRECTION. CS3/CS4 are wired to DSPA/DSPB SPI_RDY and are INPUTS (MW/D24/HW/hardware-map.md:193-195; dsp4_boot.py RDY_GPIO = {1: 8, 2: 12}). Level read at the CM4 end: 8: ip pu | hi // GPIO8 = input. A 10K pulldown on each part rests the line ASSERTED, so the level does not prove a part is alive either.",2026-09-24T07:30:09Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS3 (fw.csv Dsp3),DY1-RDY1,PASS,"CS3/GPIO8 SPI_RDY: running hi, in reset lo, after boot hi (BOOT_STAGE 7)","SPI_RDY (CS3, GPIO8) reads LOW with !RST_D held low and HIGH with the part at BOOT_STAGE 7, the CM4 pin pulled DOWN for both reads","--- 1. as DR2 left the pair (CM4 pull-down forced) --- 8: ip pd | hi // GPIO8 = input 12: ip pd | hi // GPIO12 = input --- 2. !RST_D (GPIO16) held low 200 ms --- 8: ip pd | lo // GPIO8 = input 12: ip pd | lo // GPIO12 = input --- 3. after boot_pair --- 8: ip pd | hi // GPIO8 = input 12: ip pd | hi // GPIO12 = input BOOT_STAGE 7/7 --- boot log --- s) at 10000000 Hz, SPI mode 1, 0 B/transfer, SPI...",2026-09-24T07:56:15Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS4 (fw.csv Dsp4),DY1-RDY2,PASS,"CS4/GPIO12 SPI_RDY: running hi, in reset lo, after boot hi (BOOT_STAGE 7)","SPI_RDY (CS4, GPIO12) reads LOW with !RST_D held low and HIGH with the part at BOOT_STAGE 7, the CM4 pin pulled DOWN for both reads","--- 1. as DR2 left the pair (CM4 pull-down forced) --- 8: ip pd | hi // GPIO8 = input 12: ip pd | hi // GPIO12 = input --- 2. !RST_D (GPIO16) held low 200 ms --- 8: ip pd | lo // GPIO8 = input 12: ip pd | lo // GPIO12 = input --- 3. after boot_pair --- 8: ip pd | hi // GPIO8 = input 12: ip pd | hi // GPIO12 = input BOOT_STAGE 7/7 --- boot log --- s) at 10000000 Hz, SPI mode 1, 0 B/transfer, SPI...",2026-09-24T07:56:15Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS1 (fw.csv Dsp1),DC1-CS1,PASS,CS1 asserted (GPIO6): CHIP_ID 1 BUILD_ID 0x20260812,the addressed part answers CHIP_ID 1,=== DSP4 chip 1 diagnostics === MAGIC 0xD5B40001 CHIP_ID 1 (DSPA/U6) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 5980 TICKS 1545 SEC_COUNT 5982 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 2697 SPI_RX_COUNT 510 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-24T08:01:49Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS2 (fw.csv Dsp2),DC1-CS2,PASS,CS2 asserted (GPIO24): CHIP_ID 2 BUILD_ID 0x20260812,the addressed part answers CHIP_ID 2,=== DSP4 chip 2 diagnostics === MAGIC 0xD5B40001 CHIP_ID 2 (DSPB/U5) BOOT_STAGE 7 running BOOT_CFG 1 FRAME_COUNT 5541 TICKS 1496 SEC_COUNT 5544 LAST_CSID 37 SPORT0_A_DMA (block clock) UNK_CSID 0 UNK_COUNT 0 BLK_OVERRUN 2112 SPI_RX_COUNT 463 SPI_ERR_COUNT 0 SPI_STAT 0x00540001 SPI_STAT_STK 0x00144023 RESP_DROP 0 PRODUCT_ID 1 LED_MODE 0 SPORT0_ERR_A 0x00000000 DMA0_STAT 0x00006200 SPI_CTL 0x0001A...,2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC1-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS6 (fw.csv Dsp6),DC1-CS6,NO DATA,CS6 reaches no fitted part,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411, the 8-DSP scaling provision. fw.csv Dsp6 is H1S1 pin B15 on net CS6; H1S1 holds it an INPUT and publishes no cell that could report its level, so there is no read path. CS6 is the one genuinely idle select of the eight: the D8 amendment lists CS5 OR CS6 as the spare for CS_M and this unit took CS5.",2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS7 (fw.csv Dsp7),DC1-CS7,NO DATA,"CS7 is not a DSP chip select: it is SWD_EN1, CM4-owned",n/a -- assert-one-read-one does not apply to this net,"SPEC CORRECTION (S100), the same shape as CS3/CS4. CS7 (H1S1 PC15, fw.csv Dsp7) carries SWD_EN1: dsp4-architecture-decisions.md D8 amendment, ""CS7/8 are permanently the CM4-owned SWD_EN selects"", realised on rev C as the CS7/CS8 -> SWD_EN1/EN3 proto wires. H1S1 driving it ""forces ch3 permanently selected and breaks the CM4 SWD channel-select"" (archive/tasks-archive-2026-08-20.md:365-367), which...",2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS8 (fw.csv Dsp8),DC1-CS8,NO DATA,"CS8 is not a DSP chip select: it is SWD_EN3, CM4-owned",n/a -- assert-one-read-one does not apply to this net,"SPEC CORRECTION (S100), the same shape as CS3/CS4. CS8 (H1S1 PH0, fw.csv Dsp8) carries SWD_EN3 -- see CS7: same D8 amendment, same proto wire pair, same reason H1S1 holds it an input, and the same absence of a read path in this runner.",2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS1 (fw.csv Dsp1),DC2-CS1,PASS,"CS1: CHIP_ID 1 BUILD_ID 0x20260812, build cfg triple ['0xCF45FF10', '0xE2018E6F', '0xC47C0F26'] (S82-signed: True)","id answers behind the select; fw.csv Dsp1 declares a pin and net, not a part number, so there is nothing on the wire to match it against","chip 1: raw 0xCF45FF10 BLOCK 16 CCLK 983.040 MHz BLOCK_MASK 7 on: DSP4_BLOCK_KERNELS, DSP4_BLK_LATCH, DSP4_CHAN_MASK, DSP4_SCOPE_GATE, DSP4_BQ_FLOAT, DSP4_GAIN_FLOAT, DSP4_BQ_ROUNDONCE off: DSP4_BISECT, DSP4_TXPROBE, DSP4_PROFILE_SIGNAL, DSP4_BQ_GUARD budget 327680 cycles/block (983.040 MHz x 16 / 48000) == the shipping configuration raw2 0xE2018E6F DSP4_TX_EARLY 2 (chip 2 TX) — outputs written...",2026-09-24T08:01:50Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS2 (fw.csv Dsp2),DC2-CS2,PASS,"CS2: CHIP_ID 2 BUILD_ID 0x20260812, build cfg triple ['0xCF45FF10', '0xE2018E6F', '0xC47C0F26'] (S82-signed: True)","id answers behind the select; fw.csv Dsp2 declares a pin and net, not a part number, so there is nothing on the wire to match it against","chip 2: raw 0xCF45FF10 BLOCK 16 CCLK 983.040 MHz BLOCK_MASK 7 on: DSP4_BLOCK_KERNELS, DSP4_BLK_LATCH, DSP4_CHAN_MASK, DSP4_SCOPE_GATE, DSP4_BQ_FLOAT, DSP4_GAIN_FLOAT, DSP4_BQ_ROUNDONCE off: DSP4_BISECT, DSP4_TXPROBE, DSP4_PROFILE_SIGNAL, DSP4_BQ_GUARD budget 327680 cycles/block (983.040 MHz x 16 / 48000) == the shipping configuration raw2 0xE2018E6F DSP4_TX_EARLY 2 (chip 2 TX) — outputs written...",2026-09-24T08:01:51Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC2-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:01:51Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS6 (fw.csv Dsp6),DC2-CS6,NO DATA,CS6 reaches no fitted part,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411, the 8-DSP scaling provision. fw.csv Dsp6 is H1S1 pin B15 on net CS6; H1S1 holds it an INPUT and publishes no cell that could report its level, so there is no read path. CS6 is the one genuinely idle select of the eight: the D8 amendment lists CS5 OR CS6 as the spare for CS_M and this unit took CS5.",2026-09-24T08:01:51Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS7 (fw.csv Dsp7),DC2-CS7,NO DATA,"CS7 is not a DSP chip select: it is SWD_EN1, CM4-owned",n/a -- assert-one-read-one does not apply to this net,"SPEC CORRECTION (S100), the same shape as CS3/CS4. CS7 (H1S1 PC15, fw.csv Dsp7) carries SWD_EN1: dsp4-architecture-decisions.md D8 amendment, ""CS7/8 are permanently the CM4-owned SWD_EN selects"", realised on rev C as the CS7/CS8 -> SWD_EN1/EN3 proto wires. H1S1 driving it ""forces ch3 permanently selected and breaks the CM4 SWD channel-select"" (archive/tasks-archive-2026-08-20.md:365-367), which...",2026-09-24T08:01:51Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS8 (fw.csv Dsp8),DC2-CS8,NO DATA,"CS8 is not a DSP chip select: it is SWD_EN3, CM4-owned",n/a -- assert-one-read-one does not apply to this net,"SPEC CORRECTION (S100), the same shape as CS3/CS4. CS8 (H1S1 PH0, fw.csv Dsp8) carries SWD_EN3 -- see CS7: same D8 amendment, same proto wire pair, same reason H1S1 holds it an input, and the same absence of a read path in this runner.",2026-09-24T08:01:51Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC1-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:25:41Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC2-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:25:41Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC1-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:45:09Z
DSP PCBA (H1S1 MCU wiring),DSP chip-select CS5 (fw.csv Dsp5),DC2-CS5,NO DATA,CS5 reaches no fitted part; the CM4 line is claimed for CS_M on this unit,"no part behind the select, and no read path to the net","SPEC CORRECTION (S100). hardware-map.md:410-411: ""CS1-8 DSP chip-select provision (8-DSP scaling -- only CS1/CS2 live on DSP4)"". fw.csv Dsp5 is H1S1 pin C13 on net CS5, and H1S1 holds it an INPUT by decision, so nothing asserts it and H1S1 publishes no cell that could report its level -- there is no read path in either direction, not merely no part. Separately, the D8 amendment gives CS_M a spa...",2026-09-24T08:45:09Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,NO DATA,1 MEMS lanes all STATIC with AN_EN 26: op -- pd | lo,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | lo // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC PREREQUISITE: the analog rails. AN_EN (GPIO26) is low and a dispatched session may not raise it (bench note 19 / S49-15: ""AN_EN is never written by a dispatched session""). With the front ends unpowered a STATIC lane is the test state, not a converter fault, so this is...",2026-09-24T09:52:33Z
Left Switch PCBA,Speaker,SP1,NO DATA,route asserted and read back; waiting on the analog rails (AN_EN = 26: op -- pd | lo; a dispatched session may not raise it -- bench note 19 / S49-15) and a DSP4_TEST_NODES=1 pair (TEST_OSC's injection hook is inside that guard; the staged pair is the shipping pair),1 kHz tone on the MEMS lane >= 20 dB above its idle floor; tone off -> floor returns,"THE ROUTE, named (S102, correcting S90-P6 which read it as absent). The speaker is codec TDM slot 0 = C2_MON_OUT slot 0 = signal CODEC_OUT_1 = AK4619 AOUT1L (analog U3 pin 22) -- the ONLY codec DAC output fitted on a D24 (mx26 tools/netlist/parts.csv:67: C20/C21/C22 on AOUT1R/AOUT2L/AOUT2R are DNP). U3.22 -> C23 -> SPKR -> analog J59.12 = digital J42.12 -> C82 -> TS482 (digital U32) -> SPKR0/SP...",2026-09-24T09:53:47Z
Left Switch PCBA,Speaker,SP1,NO DATA,"the MEMS lane is STATIC in all three legs (idle -186.64 dBFS, tone -186.64 dBFS (+0.00 dB), back -186.64 dBFS (+0.00 dB)) -- nothing was measured",1 kHz tone on the MEMS lane >= 20 dB above its idle floor; tone off -> floor returns,"THE ROUTE, named (S102, correcting S90-P6 which read it as absent). The speaker is codec TDM slot 0 = C2_MON_OUT slot 0 = signal CODEC_OUT_1 = AK4619 AOUT1L (analog U3 pin 22) -- the ONLY codec DAC output fitted on a D24 (mx26 tools/netlist/parts.csv:67: C20/C21/C22 on AOUT1R/AOUT2L/AOUT2R are DNP). U3.22 -> C23 -> SPKR -> analog J59.12 = digital J42.12 -> C82 -> TS482 (digital U32) -> SPKR0/SP...",2026-09-24T10:16:29Z
Left Switch PCBA,Panel MEMS mic (talkback),MM1,FAIL,1 MEMS lanes all STATIC with AN_EN up,lane alive; idle floor within the declared window,"AN_EN (GPIO26) = 26: op -- pd | hi // GPIO26 = output XIN_MEMS 46 736 7 0 16 1 -186.64 -186.64 ffffffff ffffffff ffffffff STATIC The spec asks for the PDM clock as well as the lane, and nothing on the CM4 reads it: the CPLD's lane witness counts cdc_o only -- there is no counter on the MEMS group (bench note 31) -- so ""lane stuck"" and ""no PDM clock"" are not separated by any read path that exist...",2026-09-24T10:17:39Z
